TestPhase,VehicleVariant,TestLifeMiles,MilesBeforeSystemAbort,ExactFailure,Pct20,Pct40,Pct50
OT,ICV,165,145,1,145,145,145
OT,ICV,1360,1195,0,1195,1195,1195
OT,ICV,544,544,1,544,544,544
OT,ICV,207,207,1,207,207,207
OT,ICV,419,212,1,212,212,212
OT,ICV,644,225,1,225,225,225
OT,ICV,1217,573,1,573,573,573
OT,ICV,1506,289,0,289,289,289
OT,ICV,107,107,1,107,107,107
OT,ICV,1309,1202,0,1202,1202,1202
OT,ICV,27,27,1,27,27,27
OT,ICV,648,621,0,621,621,621
OT,ICV,17,17,1,17,17,17
OT,ICV,840,823,0,823,823,823
OT,ICV,1405,1405,0,1405,1405,1405
OT,ICV,347,347,1,347,347,347
OT,ICV,592,245,1,245,245,245
OT,ICV,831,239,0,239,239,239
OT,ICV,1073,1073,0,1073,1073,1073
OT,ICV,1001,1001,1,1001,1001,1001
OT,ICV,1320,319,0,319,319,319
OT,ICV,1208,1208,0,1208,1208,1208
OT,ICV,1107,1107,0,1107,1107,1107
OT,ICV,1475,1475,0,1475,1475,1475
OT,MC,28,28,1,28,28,28
OT,MC,1128,1100,0,1100,1100,1100
OT,MC,1085,1085,0,1085,1085,1085
OT,MC,163,163,1,163,163,163
OT,MC,169,6,1,6,6,6
OT,MC,1024,855,0,855,855,855
OT,MC,873,873,1,873,873,873
OT,MC,1284,411,0,411,411,411
OT,RV,1093,1093,1,874.4,655.8,546.5
OT,RV,1903,0,1,218.6,437.2,546.5
OT,RV,1353,1353,0,1353,1353,1353
OT,RV,1368,1368,0,1368,1368,1368
OT,RV,1560,1560,0,1560,1560,1560
OT,MEV,1043,1043,0,NA,NA,NA
OT,MEV,924,924,0,NA,NA,NA
